log_id,qr_id,authorization_id,guest_id,guest_name,unit_id,unit_number,frontdesk_id,frontdesk_name,action_type,scanned_at,result_status,has_authorization_form,has_luggage,luggage_count,luggage_desc,companions_count,vehicle_plate_no,remarks
17,110,5733,2431,Miguel Gomez,9182,25E,304,Daniel Ramos,CHECK_OUT,2025-03-04 20:24:00,EXPIRED,TRUE,TRUE,2,2 laptop bags,3,NZV-3421,Authorization expired
18,197,5080,2964,Miguel Cruz,9236,12C,302,Carlos Mendoza,CHECK_IN,2025-03-05 17:28:00,VALID,TRUE,TRUE,3,3 backpacks,0,RKA-1429,ID verified at desk
19,109,5223,2890,Jasmine Lopez,9224,20E,301,Maria Santos,CHECK_IN,2025-03-14 10:53:00,VALID,TRUE,TRUE,2,2 backpacks,0,KTK-1484,Vehicle info recorded
20,183,5825,2606,Gab Tan,9099,14F,304,Daniel Ramos,CHECK_OUT,2025-03-05 7:02:00,VALID,TRUE,TRUE,1,1 backpack,4,TUK-7773,Manual review required
21,143,5174,2582,Bea Bianchi,9172,03B,303,Rica Lopez,CHECK_IN,2025-03-05 20:45:00,VALID,TRUE,FALSE,0,,0,ONU-9367,Vehicle info recorded
22,162,5303,2012,Liza Flores,9113,06F,305,Jasmine Cruz,CHECK_IN,2025-03-14 0:25:00,VALID,FALSE,TRUE,4,4 duffel bags,0,KYO-9868,Manual review required
23,140,5973,2922,Paolo Torres,9142,25E,304,Daniel Ramos,CHECK_OUT,2025-03-07 13:58:00,VALID,TRUE,TRUE,3,3 backpacks,0,,With companions
24,159,5785,2313,Sarah Lim,9213,14C,305,Jasmine Cruz,CHECK_IN,2025-03-02 18:00:00,VALID,TRUE,FALSE,0,,0,YSM-7054,Vehicle info recorded
25,207,6103,3119,Rina Torres,9250,08C,304,Daniel Ramos,CHECK_IN,2025-03-10 4:22:00,VALID,TRUE,TRUE,2,2 hand carrys,0,,Smooth processing
26,200,6156,2056,Mark Flores,9070,15B,301,Maria Santos,CHECK_IN,2025-03-08 18:46:00,VALID,TRUE,FALSE,0,,0,NIC-7080,No printed authorization form
27,157,5141,2083,Juan Torres,9103,01E,302,Carlos Mendoza,CHECK_IN,2025-03-12 2:37:00,VALID,TRUE,TRUE,3,3 hand carrys,0,XWD-2419,Smooth processing
28,179,6180,2769,Rafael Cruz,9039,19F,302,Carlos Mendoza,CHECK_IN,2025-03-08 4:42:00,EXPIRED,TRUE,TRUE,1,1 backpack,0,CQU-5067,Authorization expired
29,127,5888,2742,Trisha Tan,9223,06F,305,Jasmine Cruz,CHECK_OUT,2025-03-07 11:30:00,VALID,FALSE,FALSE,0,,0,SIK-3147,Late arrival
30,218,6168,2777,Carlo Dela Cruz,9254,11B,304,Daniel Ramos,CHECK_IN,2025-03-07 5:05:00,VALID,FALSE,FALSE,0,,1,GCH-6783,Manual review required
31,225,5918,2036,Mark Mendoza,9114,13F,302,Carlos Mendoza,CHECK_IN,2025-03-14 13:36:00,VALID,TRUE,TRUE,3,3 backpacks,0,IHD-3518,With companions
32,149,5444,2992,Paolo Chua,9269,20C,301,Maria Santos,CHECK_OUT,2025-03-08 1:47:00,VALID,TRUE,TRUE,2,2 backpacks,1,WEU-7109,ID verified at desk
33,220,5981,2903,Carlo Bautista,9027,09D,301,Maria Santos,CHECK_OUT,2025-03-10 10:50:00,VALID,TRUE,FALSE,0,,3,,Late arrival
34,130,6143,2853,Rina Bianchi,9116,25E,304,Daniel Ramos,CHECK_IN,2025-03-11 9:47:00,VALID,TRUE,TRUE,1,1 box,0,,Late arrival
35,154,5542,2167,John Torres,9089,18A,302,Carlos Mendoza,CHECK_IN,2025-03-11 14:02:00,VALID,TRUE,TRUE,3,3 duffel bags,4,,Late arrival
36,167,5406,2871,Liza Sy,9116,21B,303,Rica Lopez,CHECK_OUT,2025-03-02 22:59:00,VALID,TRUE,FALSE,0,,0,ODO-4648,Manual review required
37,212,5165,2082,Nina Lopez,9129,01A,302,Carlos Mendoza,CHECK_OUT,2025-03-14 10:08:00,VALID,TRUE,FALSE,0,,0,YYF-7874,With companions
38,249,5893,3008,Mark Villanueva,9179,14C,303,Rica Lopez,CHECK_OUT,2025-03-04 23:49:00,VALID,TRUE,TRUE,4,4 hand carrys,0,,No luggage
39,180,5517,2663,Liza Navarro,9264,01F,305,Jasmine Cruz,CHECK_IN,2025-03-02 13:36:00,VALID,TRUE,FALSE,0,,0,GIR-2477,No luggage
40,107,5491,2325,Mae Sy,9008,18D,301,Maria Santos,CHECK_IN,2025-03-03 21:57:00,VALID,TRUE,FALSE,0,,0,QWI-6773,Manual review required
41,241,5297,2786,Sarah Bianchi,9261,24B,301,Maria Santos,CHECK_IN,2025-03-10 18:36:00,VALID,TRUE,TRUE,1,1 backpack,0,SVP-2787,No printed authorization form
42,185,6131,3113,Rafael Garcia,9165,07F,302,Carlos Mendoza,CHECK_IN,2025-03-06 15:33:00,EXPIRED,TRUE,TRUE,4,4 duffel bags,0,VZU-2702,Authorization expired
43,228,5680,2206,Trisha Gomez,9270,15A,302,Carlos Mendoza,CHECK_IN,2025-03-04 20:18:00,VALID,TRUE,TRUE,4,4 duffel bags,3,RMK-7809,No luggage
44,160,5589,2466,Mark Flores,9051,25F,301,Maria Santos,CHECK_IN,2025-03-08 3:32:00,EXPIRED,TRUE,FALSE,0,,3,HQN-9222,Authorization expired
45,120,5784,2494,Angelo Chua,9074,08D,303,Rica Lopez,CHECK_IN,2025-03-01 13:07:00,EXPIRED,TRUE,TRUE,2,2 small suitcases,0,SJU-6474,Authorization expired
46,150,5788,2990,Liza Torres,9196,19C,305,Jasmine Cruz,CHECK_IN,2025-03-08 1:14:00,VALID,FALSE,TRUE,1,1 box,0,BTX-7439,No printed authorization form
47,156,5390,2514,Kevin Gomez,9021,10D,301,Maria Santos,CHECK_IN,2025-03-04 7:46:00,VALID,TRUE,FALSE,0,,2,LQQ-4247,ID verified at desk
48,186,5236,2960,Mark Tan,9116,22F,304,Daniel Ramos,CHECK_OUT,2025-03-14 0:22:00,VALID,TRUE,TRUE,1,1 laptop bag,0,ISM-5137,Smooth processing
49,243,5672,2454,Mark Garcia,9155,21D,301,Maria Santos,CHECK_IN,2025-03-02 4:19:00,VALID,TRUE,TRUE,2,2 laptop bags,0,XWR-6926,No luggage
50,225,5836,2573,Ana Ramos,9112,15D,302,Carlos Mendoza,CHECK_OUT,2025-03-03 14:15:00,NOT_FOUND,TRUE,FALSE,0,,0,,QR not recognized
51,170,5389,2251,Trisha Lim,9109,21F,305,Jasmine Cruz,CHECK_OUT,2025-03-02 11:37:00,VALID,TRUE,TRUE,2,2 small suitcases,0,SGH-5290,ID verified at desk
52,137,5267,3107,Paolo Bautista,9057,22A,302,Carlos Mendoza,CHECK_IN,2025-03-06 17:56:00,VALID,TRUE,TRUE,2,2 duffel bags,0,,No luggage
53,221,5919,2742,Bea Chua,9056,15E,302,Carlos Mendoza,CHECK_OUT,2025-03-02 7:40:00,VALID,FALSE,FALSE,0,,1,,Manual review required
54,202,5874,2222,Angelo Garcia,9038,03C,305,Jasmine Cruz,CHECK_IN,2025-03-04 4:55:00,VALID,TRUE,TRUE,3,3 laptop bags,0,OQT-6118,Late arrival
55,210,5925,2468,Nina Lopez,9233,13D,301,Maria Santos,CHECK_IN,2025-03-08 10:40:00,VALID,TRUE,TRUE,4,4 small suitcases,1,,No luggage
56,195,5267,3140,Ana Chua,9288,18C,301,Maria Santos,CHECK_IN,2025-03-10 22:58:00,EXPIRED,TRUE,FALSE,0,,0,SQG-2731,Authorization expired
57,189,6140,2753,Liza Santos,9294,08D,305,Jasmine Cruz,CHECK_OUT,2025-03-15 7:05:00,VALID,TRUE,FALSE,0,,0,AFI-4550,With companions
58,136,6160,2821,Mark Tan,9016,03F,305,Jasmine Cruz,CHECK_IN,2025-03-10 21:17:00,VALID,TRUE,TRUE,3,3 hand carrys,0,BEF-9014,Manual review required
59,208,5995,2906,Nina Santos,9111,25E,301,Maria Santos,CHECK_IN,2025-03-03 20:33:00,VALID,TRUE,TRUE,3,3 small suitcases,1,,ID verified at desk
60,154,5282,2524,Mae Lopez,9062,01D,304,Daniel Ramos,CHECK_IN,2025-03-09 23:38:00,VALID,TRUE,FALSE,0,,0,MXB-6071,No printed authorization form
61,247,5880,3175,Rafael Flores,9149,04D,301,Maria Santos,CHECK_OUT,2025-03-05 5:51:00,VALID,TRUE,FALSE,0,,0,,No luggage
62,162,5893,2821,Bea Lim,9203,10F,303,Rica Lopez,CHECK_IN,2025-03-05 3:49:00,VALID,TRUE,TRUE,2,2 hand carrys,2,,With companions
63,165,5405,2356,Rina Tan,9039,06F,304,Daniel Ramos,CHECK_IN,2025-03-14 3:52:00,VALID,TRUE,FALSE,0,,0,TKU-5271,Manual review required
64,213,5621,2563,Kyle Reyes,9181,17A,303,Rica Lopez,CHECK_IN,2025-03-02 4:32:00,VALID,FALSE,TRUE,1,1 box,0,SRZ-0793,No printed authorization form
65,221,6027,2309,Ana Garcia,9053,11F,301,Maria Santos,CHECK_IN,2025-03-05 6:14:00,VALID,TRUE,FALSE,0,,0,LLJ-6659,Smooth processing
66,185,5135,2676,Liza Sy,9198,10C,305,Jasmine Cruz,CHECK_OUT,2025-03-08 22:03:00,VALID,TRUE,FALSE,0,,4,,No luggage
67,179,6145,2772,Carlo Tan,9270,03F,304,Daniel Ramos,CHECK_IN,2025-03-01 17:57:00,VALID,TRUE,TRUE,4,4 large suitcases,2,,ID verified at desk
68,125,6040,3106,Bea Reyes,9173,25E,302,Carlos Mendoza,CHECK_IN,2025-03-04 20:14:00,VALID,FALSE,FALSE,0,,0,,Manual review required
69,111,5842,2747,Miguel Garcia,9146,25F,304,Daniel Ramos,CHECK_IN,2025-03-06 18:37:00,VALID,FALSE,TRUE,2,2 backpacks,0,OOY-4688,Vehicle info recorded
70,141,5409,2284,Paolo Reyes,9247,12E,301,Maria Santos,CHECK_OUT,2025-03-13 1:45:00,EXPIRED,TRUE,FALSE,0,,2,CHO-5060,Authorization expired
71,201,6029,2766,Miguel Navarro,9042,12B,301,Maria Santos,CHECK_IN,2025-03-03 14:06:00,VALID,TRUE,FALSE,0,,3,PWE-7790,No luggage
72,104,5525,2442,Kevin Sy,9271,14A,303,Rica Lopez,CHECK_IN,2025-03-04 2:32:00,VALID,TRUE,FALSE,0,,0,,Manual review required
73,237,5034,3056,Kyle Torres,9074,10D,301,Maria Santos,CHECK_OUT,2025-03-06 19:22:00,VALID,TRUE,FALSE,0,,0,QRQ-8806,Manual review required
74,111,5793,2765,Paolo Dela Cruz,9183,03C,302,Carlos Mendoza,CHECK_OUT,2025-03-03 16:36:00,VALID,TRUE,TRUE,1,1 backpack,0,FYV-7722,No luggage
75,217,5076,2601,Sarah Reyes,9103,02C,303,Rica Lopez,CHECK_IN,2025-03-13 16:34:00,VALID,TRUE,FALSE,0,,1,KID-5667,Vehicle info recorded
76,186,5383,3017,Angelo Ramos,9266,09A,304,Daniel Ramos,CHECK_IN,2025-03-15 1:01:00,NOT_FOUND,TRUE,TRUE,1,1 small suitcase,3,TWN-2757,QR not recognized
77,110,5723,2891,Paolo Reyes,9039,22F,304,Daniel Ramos,CHECK_IN,2025-03-04 23:22:00,REVOKED,TRUE,FALSE,0,,0,,Access revoked by admin
78,117,5484,2751,Jasmine Navarro,9291,02E,302,Carlos Mendoza,CHECK_OUT,2025-03-09 18:35:00,VALID,TRUE,FALSE,0,,0,UIH-1027,Vehicle info recorded
79,243,5242,2537,Paolo Garcia,9110,20C,304,Daniel Ramos,CHECK_IN,2025-03-04 10:07:00,EXPIRED,TRUE,FALSE,0,,0,,Authorization expired
80,181,5712,2133,Gab Sy,9149,10B,302,Carlos Mendoza,CHECK_OUT,2025-03-12 21:50:00,VALID,FALSE,FALSE,0,,4,,No printed authorization form
81,219,6130,2266,Rina Lim,9034,10D,304,Daniel Ramos,CHECK_IN,2025-03-10 15:36:00,VALID,TRUE,FALSE,0,,0,VQL-2892,With companions
82,210,6030,2114,Liza Aquino,9079,10B,302,Carlos Mendoza,CHECK_IN,2025-03-06 11:08:00,VALID,FALSE,FALSE,0,,0,URI-2498,No luggage
83,228,5346,3190,Kevin Bautista,9173,19A,301,Maria Santos,CHECK_IN,2025-03-14 10:59:00,VALID,TRUE,FALSE,0,,0,,ID verified at desk
84,177,5990,2502,Rafael Mendoza,9233,03F,301,Maria Santos,CHECK_IN,2025-03-10 18:59:00,VALID,TRUE,FALSE,0,,3,LME-5881,No printed authorization form
85,161,5956,2251,Paolo Garcia,9127,05A,301,Maria Santos,CHECK_IN,2025-03-10 1:47:00,EXPIRED,TRUE,FALSE,0,,0,SXK-3278,Authorization expired
86,219,6022,2632,Angelo Dela Cruz,9047,13E,304,Daniel Ramos,CHECK_OUT,2025-03-06 5:29:00,VALID,TRUE,TRUE,4,4 backpacks,0,NEI-5650,Vehicle info recorded
87,113,6168,3151,Sarah Ramos,9284,10A,304,Daniel Ramos,CHECK_IN,2025-03-13 20:17:00,VALID,FALSE,FALSE,0,,1,ZKR-5239,Vehicle info recorded
88,228,5083,2093,Ana Tan,9171,16E,304,Daniel Ramos,CHECK_IN,2025-03-13 1:32:00,VALID,FALSE,TRUE,4,4 boxs,0,KQQ-8794,Manual review required
89,104,5755,2679,Liza Flores,9299,10F,301,Maria Santos,CHECK_IN,2025-03-07 9:00:00,REVOKED,TRUE,FALSE,0,,0,SPF-8962,Access revoked by admin
90,162,5065,3173,Liza Cruz,9010,15C,304,Daniel Ramos,CHECK_IN,2025-03-05 23:21:00,VALID,TRUE,FALSE,0,,0,BWE-8385,Manual review required
91,234,5772,2643,John Garcia,9273,11E,303,Rica Lopez,CHECK_OUT,2025-03-07 8:22:00,VALID,TRUE,TRUE,3,3 large suitcases,0,YJW-3757,No printed authorization form
92,243,5561,2590,Liza Chua,9279,13D,303,Rica Lopez,CHECK_OUT,2025-03-04 15:59:00,VALID,TRUE,FALSE,0,,4,XPG-3848,ID verified at desk
93,135,5224,2491,Miguel Reyes,9272,08F,302,Carlos Mendoza,CHECK_IN,2025-03-10 17:43:00,VALID,TRUE,FALSE,0,,2,PPU-3454,Smooth processing
94,122,6176,2476,Gab Reyes,9090,14B,301,Maria Santos,CHECK_OUT,2025-03-10 8:48:00,VALID,TRUE,FALSE,0,,0,BAJ-9915,ID verified at desk
95,216,6113,3074,Angelo Tan,9259,15C,302,Carlos Mendoza,CHECK_OUT,2025-03-08 20:35:00,VALID,TRUE,TRUE,2,2 small suitcases,0,SVY-3296,Vehicle info recorded
96,231,5672,2178,Rafael Gomez,9095,05D,303,Rica Lopez,CHECK_OUT,2025-03-01 11:43:00,VALID,TRUE,FALSE,0,,0,XSA-4530,No luggage
97,219,5629,2328,Rafael Aquino,9160,23A,303,Rica Lopez,CHECK_IN,2025-03-06 8:36:00,VALID,TRUE,TRUE,3,3 laptop bags,0,YRZ-3391,Manual review required
98,235,5741,2160,Kyle Gomez,9032,18E,302,Carlos Mendoza,CHECK_IN,2025-03-04 17:50:00,VALID,FALSE,TRUE,2,2 duffel bags,0,,Manual review required
99,114,5929,2271,Bea Flores,9234,19A,305,Jasmine Cruz,CHECK_IN,2025-03-08 8:18:00,VALID,TRUE,FALSE,0,,0,BNL-1801,Manual review required
100,108,5588,2838,John Tan,9216,12D,304,Daniel Ramos,CHECK_OUT,2025-03-09 22:09:00,VALID,TRUE,FALSE,0,,0,LDF-8682,Late arrival
101,100,5047,2612,Trisha Sy,9218,18D,302,Carlos Mendoza,CHECK_IN,2025-03-09 5:02:00,VALID,TRUE,FALSE,0,,0,,Vehicle info recorded
102,104,5493,2423,Mark Gomez,9018,15E,301,Maria Santos,CHECK_IN,2025-03-02 8:09:00,VALID,TRUE,TRUE,1,1 large suitcase,0,XSK-9953,ID verified at desk
103,136,6068,2453,Nina Mendoza,9141,02E,305,Jasmine Cruz,CHECK_OUT,2025-03-05 7:38:00,VALID,TRUE,TRUE,3,3 duffel bags,0,KWN-6246,With companions
104,237,5970,2494,Miguel Mendoza,9074,15A,305,Jasmine Cruz,CHECK_IN,2025-03-10 19:28:00,VALID,TRUE,TRUE,2,2 backpacks,0,LCR-3046,Smooth processing
105,118,5386,3145,Sarah Villanueva,9107,11C,301,Maria Santos,CHECK_IN,2025-03-05 15:46:00,REVOKED,TRUE,FALSE,0,,0,,Access revoked by admin
106,152,5813,2491,Gab Lopez,9145,13D,305,Jasmine Cruz,CHECK_OUT,2025-03-08 8:26:00,VALID,TRUE,TRUE,1,1 hand carry,0,KGL-5609,Late arrival
107,137,5034,2535,Gab Chua,9297,24D,303,Rica Lopez,CHECK_IN,2025-03-08 20:09:00,VALID,TRUE,TRUE,3,3 backpacks,0,XUX-7725,With companions
108,135,6120,3001,John Sy,9031,17A,301,Maria Santos,CHECK_OUT,2025-03-02 10:29:00,VALID,TRUE,FALSE,0,,2,,Manual review required
109,195,5124,2990,Angelo Dela Cruz,9004,18E,304,Daniel Ramos,CHECK_IN,2025-03-13 9:07:00,VALID,TRUE,TRUE,4,4 hand carrys,0,,No luggage
110,234,5305,2494,Sarah Bianchi,9270,09C,303,Rica Lopez,CHECK_OUT,2025-03-03 3:09:00,VALID,TRUE,FALSE,0,,0,,No luggage
111,108,5192,2831,Rafael Navarro,9283,16A,301,Maria Santos,CHECK_OUT,2025-03-03 5:09:00,VALID,TRUE,FALSE,0,,0,DQB-3397,ID verified at desk
112,111,5153,2575,Gab Chua,9017,06C,301,Maria Santos,CHECK_OUT,2025-03-14 16:35:00,VALID,FALSE,FALSE,0,,0,SHS-6856,With companions
113,120,6026,2709,Ana Gomez,9224,08A,303,Rica Lopez,CHECK_OUT,2025-03-15 7:15:00,REVOKED,TRUE,FALSE,0,,3,OPH-5866,Access revoked by admin
114,147,6200,2779,Mark Bianchi,9152,08F,301,Maria Santos,CHECK_IN,2025-03-04 20:13:00,VALID,TRUE,TRUE,4,4 backpacks,0,,ID verified at desk
115,213,5738,2553,Liza Tan,9045,06D,304,Daniel Ramos,CHECK_IN,2025-03-12 23:51:00,VALID,TRUE,TRUE,1,1 box,0,MAJ-6618,Late arrival
116,246,6068,2348,Rafael Bautista,9072,09C,303,Rica Lopez,CHECK_IN,2025-03-02 18:33:00,VALID,TRUE,TRUE,1,1 backpack,2,PTT-3712,ID verified at desk
117,101,5811,2681,Rina Navarro,9169,15C,304,Daniel Ramos,CHECK_OUT,2025-03-14 20:37:00,VALID,TRUE,FALSE,0,,3,,Vehicle info recorded
118,181,5597,3006,Kyle Torres,9167,13C,304,Daniel Ramos,CHECK_IN,2025-03-14 3:56:00,VALID,FALSE,TRUE,1,1 duffel bag,0,OZJ-1672,ID verified at desk
119,161,5518,2316,Nina Navarro,9038,15E,304,Daniel Ramos,CHECK_IN,2025-03-13 11:50:00,VALID,FALSE,FALSE,0,,0,LWZ-8911,Late arrival
120,190,5341,2091,Kyle Navarro,9170,14A,301,Maria Santos,CHECK_IN,2025-03-06 9:14:00,VALID,TRUE,FALSE,0,,0,MOY-9825,Smooth processing
121,223,5215,2606,Nina Lim,9060,24B,303,Rica Lopez,CHECK_IN,2025-03-11 16:40:00,VALID,TRUE,TRUE,1,1 laptop bag,0,CJB-1051,With companions
122,162,6057,2358,Gab Bautista,9170,18D,304,Daniel Ramos,CHECK_IN,2025-03-10 13:12:00,VALID,TRUE,FALSE,0,,0,GOS-6603,Late arrival
123,171,5129,3183,Liza Sy,9096,12C,302,Carlos Mendoza,CHECK_IN,2025-03-07 7:16:00,VALID,TRUE,FALSE,0,,4,SDL-5792,ID verified at desk
124,121,5275,2642,Liza Torres,9157,04B,303,Rica Lopez,CHECK_OUT,2025-03-12 22:58:00,VALID,TRUE,FALSE,0,,0,RWU-2827,ID verified at desk
125,135,5384,2645,Trisha Bianchi,9028,12A,304,Daniel Ramos,CHECK_IN,2025-03-10 1:41:00,REVOKED,TRUE,TRUE,4,4 laptop bags,0,FCS-0340,Access revoked by admin
126,170,5461,3102,Mae Bautista,9235,19F,304,Daniel Ramos,CHECK_IN,2025-03-03 21:49:00,VALID,TRUE,TRUE,3,3 boxs,0,,Manual review required
127,239,5448,2871,Liza Torres,9153,02D,303,Rica Lopez,CHECK_IN,2025-03-03 7:30:00,VALID,FALSE,FALSE,0,,3,TUN-2923,Late arrival
128,115,6168,2719,Gab Santos,9276,06C,303,Rica Lopez,CHECK_IN,2025-03-07 10:00:00,REVOKED,TRUE,FALSE,0,,0,,Access revoked by admin
129,205,5122,2568,Kevin Tan,9128,05F,303,Rica Lopez,CHECK_OUT,2025-03-10 6:28:00,VALID,TRUE,TRUE,4,4 laptop bags,0,YCM-8457,Manual review required
130,183,6192,2006,Mark Garcia,9184,03E,304,Daniel Ramos,CHECK_IN,2025-03-11 2:38:00,VALID,TRUE,TRUE,3,3 backpacks,0,,Manual review required
131,187,5100,2095,Liza Garcia,9009,04B,304,Daniel Ramos,CHECK_IN,2025-03-11 1:38:00,VALID,TRUE,TRUE,3,3 large suitcases,0,CUL-4152,Smooth processing
132,201,5626,2480,Nina Lim,9049,01B,304,Daniel Ramos,CHECK_IN,2025-03-14 20:13:00,VALID,TRUE,TRUE,3,3 hand carrys,4,PCH-6111,No printed authorization form
133,194,5613,2281,Rafael Tan,9074,03E,305,Jasmine Cruz,CHECK_IN,2025-03-05 1:37:00,VALID,TRUE,FALSE,0,,4,OGC-1219,Vehicle info recorded
134,189,5880,2645,Kevin Torres,9142,21A,302,Carlos Mendoza,CHECK_IN,2025-03-14 23:41:00,VALID,TRUE,FALSE,0,,3,,Late arrival
135,200,5606,2112,Miguel Villanueva,9198,04B,304,Daniel Ramos,CHECK_OUT,2025-03-02 22:46:00,VALID,FALSE,FALSE,0,,0,,Vehicle info recorded
136,193,6119,2354,Angelo Lim,9009,19A,301,Maria Santos,CHECK_IN,2025-03-02 5:45:00,EXPIRED,FALSE,TRUE,3,3 duffel bags,0,NWM-1889,Authorization expired
137,139,5569,2172,Mae Lim,9262,07B,305,Jasmine Cruz,CHECK_IN,2025-03-14 16:16:00,VALID,FALSE,FALSE,0,,4,HBH-1617,Smooth processing
138,179,5360,2245,Juan Tan,9006,06D,303,Rica Lopez,CHECK_IN,2025-03-07 5:35:00,VALID,TRUE,FALSE,0,,1,AKZ-6481,ID verified at desk
139,247,5158,3017,Trisha Aquino,9185,02D,305,Jasmine Cruz,CHECK_IN,2025-03-04 21:54:00,VALID,TRUE,FALSE,0,,0,,Smooth processing
140,111,5026,2501,Ana Villanueva,9187,13B,302,Carlos Mendoza,CHECK_OUT,2025-03-02 3:18:00,VALID,FALSE,FALSE,0,,0,NXK-4195,No luggage
141,228,5108,2368,Miguel Aquino,9024,13A,304,Daniel Ramos,CHECK_OUT,2025-03-08 9:40:00,VALID,TRUE,TRUE,2,2 backpacks,0,THO-5973,Late arrival
142,138,5014,2840,Juan Torres,9278,12F,301,Maria Santos,CHECK_OUT,2025-03-01 8:47:00,VALID,TRUE,FALSE,0,,2,HNP-0241,Smooth processing
143,159,6065,2846,Jasmine Garcia,9044,19A,305,Jasmine Cruz,CHECK_IN,2025-03-10 7:22:00,VALID,TRUE,TRUE,2,2 large suitcases,3,MWX-5574,Late arrival
144,119,5416,2279,Kyle Gomez,9080,04B,304,Daniel Ramos,CHECK_IN,2025-03-10 14:00:00,VALID,TRUE,FALSE,0,,0,DCF-4903,No printed authorization form
145,137,5187,2509,Jasmine Navarro,9263,02F,303,Rica Lopez,CHECK_IN,2025-03-05 6:57:00,VALID,TRUE,TRUE,2,2 small suitcases,0,EDA-0323,Vehicle info recorded
146,195,5173,3193,Kyle Santos,9039,01A,302,Carlos Mendoza,CHECK_OUT,2025-03-11 10:10:00,VALID,TRUE,FALSE,0,,0,,Manual review required
147,112,5345,3176,Nina Navarro,9255,01D,304,Daniel Ramos,CHECK_IN,2025-03-06 5:15:00,EXPIRED,TRUE,TRUE,2,2 small suitcases,0,UJP-6870,Authorization expired
148,122,5573,2785,Kevin Flores,9103,21E,302,Carlos Mendoza,CHECK_OUT,2025-03-13 16:54:00,VALID,FALSE,FALSE,0,,0,PLS-8564,With companions
149,106,5654,2449,Juan Santos,9030,16E,303,Rica Lopez,CHECK_OUT,2025-03-06 15:07:00,REVOKED,TRUE,FALSE,0,,1,HSZ-6522,Access revoked by admin
150,160,5652,2735,Kyle Dela Cruz,9181,19E,302,Carlos Mendoza,CHECK_IN,2025-03-05 14:48:00,VALID,FALSE,FALSE,0,,0,,Smooth processing
151,123,5116,2477,Rina Torres,9011,17D,301,Maria Santos,CHECK_IN,2025-03-15 7:23:00,VALID,TRUE,FALSE,0,,0,KBA-2921,No printed authorization form
